input_name,author_name,orcid,work_openalex_id,title,year,venue,doi,cited_by_count,type,openalex_url,counts_by_year,fwci,is_in_top_10_percent
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W1906218916,M2K - An Approach for an Object-oriented Model of C Applications,2015,,https://doi.org/10.5220/0005457302500256,2,article,https://openalex.org/W1906218916,"[{'year': 2017, 'cited_by_count': 1}]",0.7946,False
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W2765532490,A methodology to infer and refactor an object‐oriented model from C applications,2017,Software Practice and Experience,https://doi.org/10.1002/spe.2549,1,article,https://openalex.org/W2765532490,"[{'year': 2020, 'cited_by_count': 1}]",0.4836,False
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W4367368736,Variability and Bias in Microbiome Metagenomic Sequencing: an Interlaboratory Study Comparing Experimental Protocols,2023,,https://doi.org/10.1101/2023.04.28.538741,7,preprint,https://openalex.org/W4367368736,"[{'year': 2025, 'cited_by_count': 3}, {'year': 2024, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 3}]",,
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W4322756537,Unraveling Key Features of Microbial Alpha-Diversity Metrics and Their Practical Applications,2023,Research Square (Research Square),https://doi.org/10.21203/rs.3.rs-2595260/v1,2,preprint,https://openalex.org/W4322756537,"[{'year': 2025, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 1}]",,
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W2897261395,Mapeo y factorización de modelos orientados a objetos en aplicaciones C,2016,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),,0,article,https://openalex.org/W2897261395,[],0.0,False
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W4288610922,Measuring The Distance Between High-Level Models In A Reengineering Process,2019,CIC-Digital (Comisión de Investigaciones Científicas de la Provincia de Buenos Aires),,0,article,https://openalex.org/W4288610922,[],0.0,False
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W4415186659,In silico Repurposing Screen to Identify Compounds with Anti-metastatic Potential in Breast Cancer Cell Line,2025,"World Congress on Medical Physics and Biomedical Engineering, September 7 - 12, 2009, Munich, Germany",https://doi.org/10.1007/978-3-032-06401-1_72,0,book-chapter,https://openalex.org/W4415186659,[],0.0,False
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W4415214022,Empirical Analysis of the Double-Zero Problem in Distances Between Genomic Samples in Microbial Abundance Matrices: A Case Study,2025,"World Congress on Medical Physics and Biomedical Engineering, September 7 - 12, 2009, Munich, Germany",https://doi.org/10.1007/978-3-032-06401-1_66,0,book-chapter,https://openalex.org/W4415214022,[],0.0,False
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W4415610240,4-Methylumbelliferone Modulates CAIX to Mitigate Hypoxia-Driven Dysregulation and Enhance PD-1 Immunotherapy in Lung Cancer,2025,International Journal of Molecular Sciences,https://doi.org/10.3390/ijms262110427,0,article,https://openalex.org/W4415610240,[],0.0,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W1972924161,Finite element analysis of steel rolling processes,2001,Computers & Structures,https://doi.org/10.1016/s0045-7949(01)00055-4,55,article,https://openalex.org/W1972924161,"[{'year': 2026, 'cited_by_count': 1}, {'year': 2025, 'cited_by_count': 1}, {'year': 2024, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 5}, {'year': 2022, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 2}, {'year': 2020, 'cited_by_count': 6}, {'year': 2019, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 2}, {'year': 2017, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 2}, {'year': 2015, 'cited_by_count': 1}, {'year': 2014, 'cited_by_count': 1}, {'year': 2013, 'cited_by_count': 1}, {'year': 2012, 'cited_by_count': 2}]",3.4361,True
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W2154256592,On the modelling of complex 3D bulk metal forming processes via the pseudo‐concentrations technique. Application to the simulation of the Mannesmann piercing process,2005,International Journal for Numerical Methods in Engineering,https://doi.org/10.1002/nme.1475,26,article,https://openalex.org/W2154256592,"[{'year': 2023, 'cited_by_count': 5}, {'year': 2022, 'cited_by_count': 2}, {'year': 2021, 'cited_by_count': 2}, {'year': 2020, 'cited_by_count': 4}, {'year': 2019, 'cited_by_count': 2}, {'year': 2018, 'cited_by_count': 2}, {'year': 2017, 'cited_by_count': 1}, {'year': 2016, 'cited_by_count': 1}, {'year': 2015, 'cited_by_count': 1}]",0.6942,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W2035517022,2D finite element parametric studies of the flat-rolling process,1997,Journal of Materials Processing Technology,https://doi.org/10.1016/s0924-0136(96)00027-1,31,article,https://openalex.org/W2035517022,"[{'year': 2025, 'cited_by_count': 1}, {'year': 2024, 'cited_by_count': 1}, {'year': 2019, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 2}, {'year': 2016, 'cited_by_count': 2}, {'year': 2015, 'cited_by_count': 3}, {'year': 2014, 'cited_by_count': 2}, {'year': 2013, 'cited_by_count': 1}, {'year': 2012, 'cited_by_count': 1}]",0.0,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W1965398716,Finite element models in the steel industry,2003,Computers & Structures,https://doi.org/10.1016/s0045-7949(02)00402-9,19,article,https://openalex.org/W1965398716,"[{'year': 2023, 'cited_by_count': 3}, {'year': 2020, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 1}, {'year': 2014, 'cited_by_count': 1}, {'year': 2013, 'cited_by_count': 1}]",4.9834,True
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W2137935009,Finite element simulation of the steel plates hot rolling process,2001,International Journal for Numerical Methods in Engineering,https://doi.org/10.1002/nme.262,27,article,https://openalex.org/W2137935009,"[{'year': 2025, 'cited_by_count': 2}, {'year': 2023, 'cited_by_count': 1}, {'year': 2022, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 1}, {'year': 2018, 'cited_by_count': 1}, {'year': 2017, 'cited_by_count': 2}, {'year': 2015, 'cited_by_count': 1}, {'year': 2014, 'cited_by_count': 2}, {'year': 2012, 'cited_by_count': 1}]",3.397,True
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W3166338472,Numerical Calculation of the Heat Transfer Coefficients in Multi-Thermocouple Probes by the Reconstruction Temperature Method,2021,Materials Performance and Characterization,https://doi.org/10.1520/mpc20200144,1,article,https://openalex.org/W3166338472,"[{'year': 2025, 'cited_by_count': 1}]",0.0,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W1991047027,A three field element via Augmented Lagrangian for modelling bulk metal forming processes,1995,Computational Mechanics,https://doi.org/10.1007/s004660050087,15,article,https://openalex.org/W1991047027,"[{'year': 2015, 'cited_by_count': 1}]",2.0084,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W4256149937,A three field element via Augmented Lagrangian for modelling bulk metal forming processes,1995,Computational Mechanics,https://doi.org/10.1007/bf00356474,13,article,https://openalex.org/W4256149937,"[{'year': 2015, 'cited_by_count': 1}, {'year': 2012, 'cited_by_count': 1}]",2.0086,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W2109537150,An iterative (<i>k</i>‐<i>L</i>)‐predictor/<i>ε</i>‐corrector algorithm for solving (<i>k</i>‐<i>ε</i>) turbulent models,1997,Engineering Computations,https://doi.org/10.1108/02644409710178502,13,article,https://openalex.org/W2109537150,[],1.1101,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W1988949513,Modeling of Turbulent Recirculating Flows Via an Iterative (k-L)-Predictor / (ε)-Corrector Scheme,1995,Applied Mechanics Reviews,https://doi.org/10.1115/1.3005074,9,article,https://openalex.org/W1988949513,[],0.0,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W2103079663,3D FINITE ELEMENT ANALYSIS OF TUBE EXPANSION,2014,Blucher Mechanical Engineering Proceedings,https://doi.org/10.5151/meceng-wccm2012-18570,0,article,https://openalex.org/W2103079663,[],0.0,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W2800960051,Modelado de Procesos de Conformado de Metales,1996,,,0,article,https://openalex.org/W2800960051,[],0.0,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W2923519876,Validación Experimental Del Acoplamiento Termo-Mecánico En Procesos De Conformado Masivo De Metales.,2004,,,0,article,https://openalex.org/W2923519876,[],0.0,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W2950819031,Modeling of Electro Resistance Welding Tube Forming Process,2008,,,0,article,https://openalex.org/W2950819031,[],0.0,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W3001126150,Caracterización Numérica de la Transferencia Térmica Mediante la Reconstrucción del Campo de Temperaturas en Probetas Templadas por Inmersión,2019,,,0,article,https://openalex.org/W3001126150,[],0.0,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W3019531368,Problems of internal acoustics in two and three dimensional cavities with deformable walls using the MSC/Nastran code,1989,,,0,article,https://openalex.org/W3019531368,[],0.0,False
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,https://openalex.org/W3150395597,Aplicaciones del Método de Elementos Finitos al Estudio de Procesos de Laminación de Chapas,2000,,,0,article,https://openalex.org/W3150395597,[],0.0,False
