input_name,author_name,orcid,year,cited_by_count
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2018,44
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2019,32
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2020,9
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2021,34
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2022,0
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2025,2
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1968,0
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1973,0
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1974,0
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1980,5
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1982,74
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1984,16
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1986,20
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1987,15
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1988,2
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1990,27
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1991,7
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1992,4
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1995,66
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1997,15
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,1998,20
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2000,244
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2001,507
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2003,115
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2004,38
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2005,403
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2006,490
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2007,334
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2008,279
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2009,127
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2010,63
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2011,306
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2012,54
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2013,230
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2014,129
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2016,242
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2017,22
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2018,83
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2019,38
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2020,28
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2021,40
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2022,14
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2023,16
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2025,4
"Sánchez Sarmiento, Fernando",Fernando B. Sanchez-Sarmiento,0000-0002-8351-8192,2021,1
"Sánchez Sarmiento, Fernando",Fernando B. Sanchez-Sarmiento,0000-0002-8351-8192,2022,2
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2015,0
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2020,18
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2021,22
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2022,16
