input_name,author_name,orcid,title,work_openalex_id,citation_year,citations
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,Finite element simulation of the steel plates hot rolling process,https://openalex.org/W2137935009,2014,2
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,Finite element simulation of the steel plates hot rolling process,https://openalex.org/W2137935009,2012,1
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,Numerical Calculation of the Heat Transfer Coefficients in Multi-Thermocouple Probes by the Reconstruction Temperature Method,https://openalex.org/W3166338472,2025,1
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,A three field element via Augmented Lagrangian for modelling bulk metal forming processes,https://openalex.org/W1991047027,2015,1
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,A three field element via Augmented Lagrangian for modelling bulk metal forming processes,https://openalex.org/W4256149937,2015,1
"Cavaliere, Miguel A.",Miguel A. Cavaliere,0000-0001-9880-5998,A three field element via Augmented Lagrangian for modelling bulk metal forming processes,https://openalex.org/W4256149937,2012,1
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2026,2
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2025,17
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2024,20
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2023,39
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2022,50
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2021,38
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2020,42
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2019,37
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2018,28
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2017,23
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2016,30
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2015,29
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2014,30
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2013,18
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Homology modeling in drug discovery: current trends and applications,https://openalex.org/W2006197769,2012,32
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2026,2
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2025,5
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2024,4
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2023,7
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2022,10
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2021,19
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2020,13
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2019,7
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2018,10
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2017,9
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2016,18
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2015,20
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2014,17
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2013,20
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Protein Flexibility in Ligand Docking and Virtual Screening to Protein Kinases,https://openalex.org/W2057846043,2012,35
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2025,4
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2024,2
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2023,2
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2022,6
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2021,7
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2020,12
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2019,5
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2018,5
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2017,3
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2016,11
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2015,15
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2014,16
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2013,17
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Representing Receptor Flexibility in Ligand Docking through Relevant Normal Modes,https://openalex.org/W1969875513,2012,23
"Cavasotto, C. N.",Claudio N. Cavasotto,0000-0002-1372-0379,Glucocorticoid Receptor Phosphorylation Differentially Affects Target Gene Expression,https://openalex.org/W1974454557,2026,2
